file_hash,optimizer,generation,time_taken,size_ratio,initial_score,final_score,dataset_path,output_path
75f4a4b270d8b8d9b651537ceeea3dee2bd39915f83d089cd4286661fa93556f,GAop_v1,0,2.886371,'10:10,1 (0.7502750158309937),0 (0.002578000072389841),massgen-b1,massgen-g1
8bdd6727c2ae99dc2f8c0141ee43fd6318329bd859393534f382cbbbb894ed6f,GAop_v1,13,45.157663,'10:10,1 (0.999779999256134),0 (0.4847629964351654),massgen-b1,massgen-g1
d0bb2ad71a9fd72c64983847116365699d57da86a36e1b5f3210c1c9263bece3,GAop_v1,14,32.653022,'10:10,1 (1.0),0 (0.4945720136165619),massgen-b1,massgen-g1
c0dd0abf25bfa3a7c6cd883882a6c447dbbdaa90c7f13cac32981a9876d88aa7,GAop_v1,0,2.184975,'10:10,1 (0.817031979560852),0 (0.18503700196743011),massgen-b1,massgen-g1
1f731aa98a16403083bd448dc05dad1dd741546799cccbd7092023b035e14b44,GAop_v1,17,40.561901,'10:10,1 (1.0),0 (0.20058000087738037),massgen-b1,massgen-g1
65d4303ea9b2e5637b96f1e9bdba370ff10b4501ad1cf062a19461a70a1b0e43,GAop_v1,13,67.862434,'10:10,1 (0.9998739957809448),0 (0.4104030132293701),massgen-b1,massgen-g1
5637bf92c1d42080a030673472c2d01ed76d3c2166d02017af8842b4013c1a09,GAop_v1,15,34.364343,'10:10,1 (0.9876970052719116),0 (0.4603649973869324),massgen-b1,massgen-g1
5bc989d54ee6b44b2c90bd3d7d3d31f3394cda4f6cc43395921456300e4c4728,GAop_v1,18,46.240944,'10:10,1 (0.997409999370575),0 (0.4723869860172272),massgen-b1,massgen-g1
bc6a5e9ecb4760463c1de6d050a43625eb27e7a93d0f39b8c9a5bda862523228,GAop_v1,4,10.802249,'10:10,1 (0.9966070055961609),0 (0.3317039906978607),massgen-b1,massgen-g1
487368f8c5ff7622414e3a18f9c5666c56e755db7e57356b42ef2b645b130cb6,GAop_v1,3,11.239743,'10:10,1 (0.9834460020065308),0 (0.4680840075016022),massgen-b1,massgen-g1
