file_hash,optimizer,generation,time_taken,size_ratio,initial_score,final_score,dataset_path,output_path
75f4a4b270d8b8d9b651537ceeea3dee2bd39915f83d089cd4286661fa93556f,MAop_v2,0,0.852693,'10:10,1 (0.7502750158309937),0 (0.003782999934628606),massgen-b1,massgen-r1
8bdd6727c2ae99dc2f8c0141ee43fd6318329bd859393534f382cbbbb894ed6f,MAop_v2,1,57.942687,'10:13,1 (0.999779999256134),0 (0.209524005651474),massgen-b1,massgen-r1
d0bb2ad71a9fd72c64983847116365699d57da86a36e1b5f3210c1c9263bece3,MAop_v2,8,34.097113,'10:10,1 (1.0),0 (0.47367000579833984),massgen-b1,massgen-r1
c0dd0abf25bfa3a7c6cd883882a6c447dbbdaa90c7f13cac32981a9876d88aa7,MAop_v2,0,0.742087,'10:10,1 (0.817031979560852),0 (0.10573399811983109),massgen-b1,massgen-r1
1f731aa98a16403083bd448dc05dad1dd741546799cccbd7092023b035e14b44,MAop_v2,7,29.66784,'10:10,1 (1.0),0 (0.48323699831962585),massgen-b1,massgen-r1
65d4303ea9b2e5637b96f1e9bdba370ff10b4501ad1cf062a19461a70a1b0e43,MAop_v2,10,67.506681,'10:10,1 (0.9998739957809448),0 (0.49705401062965393),massgen-b1,massgen-r1
5637bf92c1d42080a030673472c2d01ed76d3c2166d02017af8842b4013c1a09,MAop_v2,10,40.960936,'10:10,1 (0.9876970052719116),0 (0.49043500423431396),massgen-b1,massgen-r1
5bc989d54ee6b44b2c90bd3d7d3d31f3394cda4f6cc43395921456300e4c4728,MAop_v2,14,61.106531,'10:10,1 (0.997409999370575),0 (0.4861289858818054),massgen-b1,massgen-r1
bc6a5e9ecb4760463c1de6d050a43625eb27e7a93d0f39b8c9a5bda862523228,MAop_v2,2,7.796605,'10:10,1 (0.9966070055961609),0 (0.49386700987815857),massgen-b1,massgen-r1
487368f8c5ff7622414e3a18f9c5666c56e755db7e57356b42ef2b645b130cb6,MAop_v2,2,10.656291,'10:10,1 (0.9834460020065308),0 (0.45811599493026733),massgen-b1,massgen-r1
